"arm","probability","CRP","lower_100","median_100","upper_100","lower_all","median_all","upper_all","change_lower","change_median","change_upper"
"flexible",0.153062893081761,13.8419609852458,2.38957723226312,2.48888518627262,2.57460325264121,2.38239486676352,2.48231128102681,2.57819606502051,-0.00718236549959572,-0.00657390524581247,0.00359281237929521
"flexible",0.159283018867925,14.1996904041332,2.4032648982818,2.50088137985636,2.58670578425763,2.39548606782343,2.49377307443192,2.59002224666163,-0.00777883045837502,-0.00710830542444274,0.00331646240400119
"flexible",0.165503144654088,14.5548237551595,2.41638128996469,2.51287344922409,2.5985569421207,2.4083161610321,2.50527557945172,2.60160143545903,-0.0080651289325977,-0.00759786977236798,0.0030444933383289
"flexible",0.171723270440252,14.9076123158613,2.42922308534157,2.52463231083553,2.61017531114693,2.42090457382187,2.51677066609857,2.61295188124516,-0.0083185115197022,-0.0078616447369666,0.00277657009823118
"flexible",0.177943396226415,15.2582867934812,2.44183704994879,2.53617477933108,2.62157764844645,2.43326883400979,2.52771085886782,2.62409003749773,-0.0085682159390017,-0.00846392046325617,0.00251238905128037
"flexible",0.184163522012579,15.607059907462,2.4541187118191,2.54751608018581,2.6327791250197,2.44542482052806,2.53792131351197,2.63502454017275,-0.00869389129103748,-0.00959476667383985,0.00224541515304777
"flexible",0.190383647798742,15.9541285834256,2.4659102776122,2.55870010604909,2.64379352864623,2.45701944113646,2.54874840908222,2.64577241587116,-0.00889083647574074,-0.00995169696686915,0.00197888722493156
"flexible",0.196603773584906,16.2996758282494,2.4775225013605,2.56894182701649,2.65463343526054,2.46909645275812,2.55936415467704,2.65634888897131,-0.00842604860237861,-0.00957767233944473,0.00171545371077642
"flexible",0.202823899371069,16.6438723416131,2.4889673434119,2.57928477821209,2.66531035455335,2.48065880035891,2.56987311574127,2.66683232593337,-0.00830854305298967,-0.00941166247082226,0.00152197138001897
"flexible",0.209044025157233,16.98687790841,2.50025579198844,2.58952863279382,2.67583485434934,2.49206411281535,2.58025740920662,2.67745180796793,-0.00819167917308361,-0.00927122358719767,0.00161695361859326
"flexible",0.215264150943396,17.3288426078768,2.5113979733065,2.59963440138409,2.6862166673983,2.50332257770088,2.5903904747301,2.68792744392171,-0.00807539560561876,-0.00924392665399321,0.00171077652340212
"flexible",0.22148427672956,17.6699078685955,2.52240324661142,2.60991205797991,2.69646478350785,2.51444361180347,2.6005558093268,2.69826829957187,-0.00795963480794626,-0.00935624865310469,0.00180351606401929
"flexible",0.227704402515723,18.0102073932303,2.5332802865653,2.62019063953142,2.70658752939019,2.52543594391779,2.61014790900848,2.70848277211323,-0.00784434264751077,-0.0100427305229331,0.00189524272304809
"flexible",0.233924528301887,18.3498679726463,2.54403715497764,2.62965135006541,2.71659263815816,2.53630768693095,2.61994077957072,2.71857866022886,-0.00772946804669594,-0.00971057049469604,0.00198602207069642
"flexible",0.24014465408805,18.689010205683,2.55468136351156,2.63886788777981,2.7264873100584,2.54706640084198,2.62946913579105,2.72856322532573,-0.00761496266958384,-0.00939875198876061,0.00207591526733886
"flexible",0.246364779874214,19.0277491381328,2.56521992871303,2.64798685869113,2.73627826575135,2.55771914806848,2.63914027470299,2.73844324525616,-0.00750078064455018,-0.00884658398814597,0.00216497950480532
"flexible",0.252584905660377,19.3661948322651,2.57565942048136,2.65768402269575,2.74597179322508,2.5682725421637,2.64874031301834,2.74822506162036,-0.00738687831765805,-0.00894370967741809,0.00225326839528472
"flexible",0.258805031446541,19.7044528764376,2.58600600491303,2.66750618529049,2.75557378924855,2.57873279088042,2.65821514152024,2.75791462156385,-0.00727321403261172,-0.0092910437702427,0.00234083231530091
"flexible",0.265025157232704,20.0426248428563,2.5962654823004,2.67649249809547,2.7650897961235,2.58910573436675,2.66776627147613,2.76751751483446,-0.0071597479336587,-0.00872622661933686,0.0024277187109556
